,pauthor,peditor,ptitle,pyear,paddress,ppublisher,pseries,pid,pkey,ptype_id,pjournal_id,pbooktitle_id,pjournalfull_id,pbooktitlefull_id,partition
376,Ravi R. Mazumdar,,"Performance Modeling, Loss Networks, and Statistical Multiplexing",2009,,Morgan & Claypool Publishers,Synthesis Lectures on Communication Networks,2434112,series/synthesis/2009Mazumdar,7,0,178,0,178,3
378,Extension of the Capon's spectral estimator to time-frequency analysis and to the analysis of polynomial-phase signals.,,Mehmet Tankut Özgen,-2003,,,,2312121,journals/sigpro/Ozgen03,3,0,5,0,5,3
380,Martin Hofmann,,A Type System for Bounded Space and Functional In-Place Update.,-2000,,,,2165408,journals/njc/Hofmann00,3,94,5,94,5,3
381,Galen C. Hunt|Maged M. Michael|Srinivasan Parthasarathy|Michael L. Scott,,An Efficient Algorithm for Concurrent Priority Queue Heaps.,1996,,,,2055286,journals/ipl/HuntMPS96,3,95,5,95,5,3
384,Furio Honsell|Ian A. Mason|Scott F. Smith|Carolyn L. Talcott,,A Theory of Classes for a Functional Language with Effects.,1992,,,,146608,conf/csl/HonsellMST92,1,0,182,0,182,3
390,Kelvin Kam Wing Chu|Sze Kin Lam|Man Hon Wong,,An Efficient Hash-Based Algorithm for Sequence Data Searching.,1998,,,,1875602,journals/cj/ChuLW98,3,96,5,96,5,3
391,Zenon Chaczko|Frank Chiang|Robin Braun,,Active MIB: Addressing Challenges of Wireless Mesh Networks.,2007,,,,225331,conf/eurocast/ChaczkoCB07,1,0,187,0,187,3
396,Parallelization of Unstructured Mesh Computations Using Data Structure Formalization.,,Rainer Koppler,1998,,,,230113,conf/europar/Koppler98,1,0,189,0,189,3
401,Dimitrios I. Rigas|Mutlaq B. Alotaibi,,The Role of Audio-Visual Metaphors in Aiding the Communication of Customer Knowledge - User Satisfaction Prespective.,2008,,,,361926,conf/icete/RigasA08,1,0,191,0,191,3
402,Bing Shen|Zhongfei (Mark) Zhang|Chunfa Yuan,,Person Name Identification in Chinese Documents Using Finite State Automata.,-2003,,,,305923,conf/iat/ShenZY03,2,0,17,0,17,3
404,Ioannis Konstantinou|Dimitrios Tsoumakos|Nectarios Koziris,,PASS It ON (PASSION): An Adaptive Online Load-Balancing Algorithm for Distributed Range-Query Specialized Systems.,2008,,,,615524,conf/otm/KonstantinouTK08,1,0,192,0,192,3
409,Chang-jie Tang|Bowen Yin,,Data Dependency and Undecidability in a Model of Historical Information System.,-1988,,,,188938,conf/ds/TangY88,1,0,194,0,194,3
410,Marius Kleiner|Bixio Rimoldi,,A Tight Bound on the Performance of a Minimal-Delay Joint Source-Channel Coding Scheme,-2010,,,,1923192,journals/corr/abs-1001-2488,3,5,5,5,5,3
416,Audio-visual event classification via spatial-temporal-audio words.,,Yu Cao|Sung Baang|Shih-Hsi Liu|Ming Li|Sanqing Hu,-2008,,,,412387,conf/icpr/CaoBLLH08,1,0,197,0,197,3
417,Richard Crowder|Rob MacKendrick|Roger Rowe|Eric Auriol|Morten Tellefsen,,Maintenance of Robotic Systems Using Hypermedia and Case-Based Reasoning.,-2000,,,,415142,conf/icra/CrowderMRAT00,1,0,5,0,5,3
422,Ian R. Greenshields|Zhihong Yang,,Architecture of a Distributed Collaborative Medical Imaging System.,1998,,,,94021,conf/cbms/GreenshieldsY98,1,0,199,0,199,3
426,Mario A. R. Dantas|Alex R. Pinto,,A Load Balancing Approach Based on a Genetic Machine Learning Algorithm.,2005,,,,298836,conf/hpcs/DantasP05,1,0,200,0,200,3
434,Gunjan Khanna|Ignacio Laguna|Fahad A. Arshad|Saurabh Bagchi,,Stateful Detection in High Throughput Distributed Systems.,2007,,,,724422,conf/srds/KhannaLAB07a,1,0,202,0,202,3
435,Dong-Guk Han|Tetsuya Izu|Jongin Lim|Kouichi Sakurai,,Side Channel Cryptanalysis on XTR Public Key Cryptosystem.,-2005,,,,2009649,journals/ieicet/HanILS05,3,0,5,0,5,3
439,Jiyeon Lee|Jongwoo Kim,,A workload-dependent M/G/1 queue under a two-stage service policy.,2006,,,,2169875,journals/orl/LeeK06,0,106,5,106,5,3
441,BMA*: An Efficient Algorithm for the One-to-Some Shortest Path Problem on Road Maps.,,Dan He,-2007,,,,19891,conf/aaim/He07,1,0,205,0,205,3
444,Yang Wang 0004|Prabir Bhattacharya,,On parameter-dependent connected components of gray images.,1996,,,,2183295,journals/pr/WangB96,3,109,206,109,206,3
451,Michel Raynal|Gérard Thia-Kime|Mustaque Ahamad,,From Serializable to Causal Transactions (Abstract).,-1996,,,,637801,conf/podc/RaynalTA96,2,0,5,0,5,3
456,Vivian Prinz|Robert Eigner|Wolfgang Woerndl,,Cars communicating over publish/subscribe in a peer-to-peer vehicular network.,-2009,,,,824126,conf/iwcmc/PrinzEW09,1,0,209,0,209,3
458,Tao Xie 0004|Xiao Qin,,Stochastic Scheduling with Availability Constraints in Heterogeneous Clusters.,2006,,,,118582,conf/cluster/XieQ06,1,0,211,0,211,3
462,Frank Linton|Hans-Peter Schaefer,,Recommender Systems for Learning: Building User and Expert Models through Long-Term Observation of Application Use.,2000,,,,2291881,journals/umuai/LintonS00,2,115,0,115,0,3
465,Myungwhan Choi|C. M. Krishna,,An Adaptive Algorithm to Ensure Differential Service in aToken-Ring Network.,1990,,,,2226825,journals/tc/ChoiK90,5,103,5,103,5,3
470,Shun Xu|Martin Andreas Styner|Brad Davis|Sarang C. Joshi|Guido Gerig,,Group mean differences of voxel and surface objects via nonlinear averaging.,2006,,,,491183,conf/isbi/XuSDJG06,1,0,131,0,131,3
473,Alexandre Courbot|Gilles Grimaud|Jean-Jacques Vandewalle|David Simplot-Ryl,,Application-Driven Customization of an Embedded Java Virtual Machine.,2005,,,,223299,conf/euc/CourbotGVS05,1,0,216,0,216,3
478,The DataPath system: a data-centric analytic processing engine for large data warehouses.,,Subi Arumugam|Alin Dobra|Christopher M. Jermaine|Niketan Pansare|Luis Leopoldo Perez,-2010,,,,703656,conf/sigmod/ArumugamDJPP10,1,0,5,0,5,3
479,José Valente de Oliveira|J. M. Lemos,,A comparison of some adaptive-predictive fuzzy-control strategies.,2000,,,,2286981,journals/tsmc/OliveiraL00,3,119,219,119,219,3
481,Raquel Lacuesta Gilaberte|Guillermo Palacios Navarro|Cristina Martínez,,On Developing Professional Competences in Engineering Education - A Pilot Experience in Computer Engineering.,-2010,,,,239611,conf/fecs/GilaberteNM10,1,0,221,0,221,3
482,Lijie Ren|Zhongwen Guo|Yongguo Jiang|Hao Wu,,Research and Practice of Experimental Simulation Platform for Course of Digital Logic.,2008,,,,868659,conf/icycs/RenGJW08,2,0,99,0,99,3
483,Kiyoshi Hasegawa|Toshiro Kimura|Yoshikatsu Miyashita|Kimito Funatsu,,Nonlinear Partial Least Squares Modeling of Phenyl Alkylamines with the Monoamine Oxidase Inhibitory Activities.,1996,,,,2095280,journals/jcisd/HasegawaKMF96,0,26,0,26,0,3
497,Genésio Gomes da Cruz Neto|Alex Sandro Gomes|Jaelson Brelaz de Castro,,Mapeando Diagramas da Teoria da Atividade em Modelos Organizacionais Baseados em i*.,2004,,,,771236,conf/wer/NetoGC04,2,0,0,0,0,3
499,"Automated high level synthesis of hardware building blocks present in ART-based neural networks, from VHDL-AMS descriptions.",,J. A. Lopez|G. Domenech|R. Ruiz|Tom J. Kazmierski,-2002,,,,502291,conf/iscas/LopezDRK02,1,0,75,0,75,3
501,Automatic Generation of Remediation Procedures for Malware Infections.,,Roberto Paleari|Lorenzo Martignoni|Emanuele Passerini|Drew Davidson|Matt Fredrikson|Jonathon T. Giffin|Somesh Jha,-2010,,,,746632,conf/uss/PaleariMPDFGJ10,2,0,231,0,231,3
507,A-SOAP: Adaptive SOAP Message Processing and Compression.,,Marcel-Catalin Rosu,2007,,,,438077,conf/icws/Rosu07,4,0,5,0,5,3
511,María José Castro Bleda|Salvador España Boquera|Jorge Gorbe-Moya|Francisco Zamora-Martínez|David Llorens-Piñana|Andrés Marzal-Varó|Federico Prat-Villar|Juan Miguel Vilar-Torres,,Improving a DTW-Based Recognition Engine for On-line Handwritten Characters by Using MLPs.,2009,,,,346698,conf/icdar/BledaBGZLMPV09,2,0,236,0,236,3
517,Carles Colominas|F. Javier Luque|Modesto Orozco,,Monte Carlo-MST: New strategy for representation of solvent configurational space in solution.,1999,,,,2090938,journals/jcc/ColominasLO99,0,7,0,7,0,3
