,pauthor,peditor,ptitle,pyear,paddress,ppublisher,pseries,pid,pkey,ptype_id,pjournal_id,pbooktitle_id,pjournalfull_id,pbooktitlefull_id,partition
45,Variability-driven module selection with joint design time optimization and post-silicon tuning.,,Feng Wang 0004|Xiaoxia Wu|Yuan Xie,2008,,,,62300,conf/aspdac/WangWX08,1,0,21,0,21,2
50,Ahm Shamsuzzoha|Timo Kankaanpaa|Petri Helo|Luis Maia Carneiro|Ricardo Almeida|Rosanna Fornasiero,,Non-hierarchical Collaboration in Dynamic Business Communities.,-2010,,,,450424,conf/ifip5-5/ShamsuzzohaKHCAF10,0,0,23,0,23,2
54,Morten Nielsen,,"An example of an almost greedy uniformly bounded orthonormal basis for Lp(0, 1).",-2007,,,,2085892,journals/jat/Nielsen07,3,16,0,16,0,2
58,Instance- and bag-level manifold regularization for aggregate outputs classification.,,Shuo Chen|Bin Liu|Mingjie Qian|Changshui Zhang,2009,,,,113290,conf/cikm/ChenLQZ09,1,0,26,0,26,2
60,Ronny Meir|Neri Merhav,,On the Stochastic Complexity of Learning Realizable and Unrealizable Rules.,1995,,,,2146600,journals/ml/MeirM95,3,18,5,18,5,2
66,Bing Liu 0002|Jiuyong Li|Anna Tsykin|Lin Liu|Arti B. Gaur|Gregory J. Goodall,,Exploring complex miRNA-mRNA interactions with Bayesian networks by splitting-averaging strategy.,2009,,,,1850756,journals/bmcbi/LiuLTLGG09,0,21,5,21,5,2
73,Luis A. Cisternas|Jessica Cueto|Ross Swaney,,Flowsheet synthesis of fractional crystallization processes with cake washing.,2004,,,,2389076,journals/cce/CisternasCS04,2,23,5,23,5,2
78,Brigitte Kervella|Valérie Gay|Eric Horlait,,Towards a Complete Multimedia Mail: Use of MHEG in Standard Messaging System.,-1994,,,,137558,conf/cost/KervellaGH94,2,0,5,0,5,2
79,Ming Jiang 0004|Qiang Ji|Bruce F. McEwen,,Automated Extraction of Fine Features of Kinetochore Microtubules and Plus-Ends From Electron Tomography Volume.,2006,,,,2251660,journals/tip/JiangJM06,3,25,0,25,0,2
80,Bernard Chen|Christopher Rhodes|Christopher Kline|Luke Irvin,,Protein Sequence Motif Information Generated by Fuzzy - Hybrid Hierarchical K-means Clustering Algorithm.,2010,,,,77089,conf/biocomp/ChenRKI10,4,0,37,0,37,2
82,Roberto Santana Tapia|Maya Daneva|Pascal van Eck|Nicte-Há Castro Cárdenas|Leida van Oene,,Business-IT Alignment Domains and Principles for Networked Organizations: A Qualitative Multiple Case Study.,2008,,,,615549,conf/otm/TapiaDECO08,2,0,38,0,38,2
84,Russell H. Taylor|Janez Funda|Leo Joskowicz|Alan D. Kalvin|Stephen H. Gomory|André Guéziec|Lisa M. G. Brown,,An overview of computer-integrated surgery at the IBM Thomas J. Watson Research Center.,-1996,,,,2003130,journals/ibmrd/TaylorFJKGGB96,3,28,0,28,0,2
85,Bo Wang 0004|Junshan Zhang|Lizhong Zheng,,Achievable Rates and Scaling Laws of Power-Constrained Wireless Sensory Relay Networks.,-2006,,,,2261328,journals/tit/WangZZ06,3,2,5,2,5,2
90,Query Processing in LILOG-DB: What It Is and Where It Goes.,,Thomas Ludwig,1991,,,,82236,conf/btw/Ludwig91,2,0,40,0,40,2
91,Dimitrios A. Karras,,An Improved Modular Neural Network Model for Adaptive Trajectory Tracking Control of Robot Manipulators.,-2008,,,,402096,conf/iconip/Karras09,1,0,5,0,5,2
106,Fumihito Arai|Tomohiko Sugiyama|Toshio Fukuda|Hitoshi Iwata|Kouichi Itoigawa,,Micro Tri-Axial Force Sensor for 3D Bio-Micromanipulation.,1999,,,,414359,conf/icra/AraiSFII99,1,0,47,0,47,2
108,Sankhayan Choudhury|Nabendu Chaki|Swapan Bhattacharya,,Graph Object Oriented Model and Query Language: A Semi-Structured Approach.,2001,,,,535420,conf/itcc/ChoudhuryCB01,0,0,49,0,49,2
109,Tasuku Nishihara|Takeshi Matsumoto|Masahiro Fujita,,Word-Level Equivalence Checking in Bit-Level Accuracy by Synthesizing Designs onto Identical Datapath.,2009,,,,2015157,journals/ieicet/NishiharaMF09,0,34,5,34,5,2
119,Wei Xu|Jianhua Zhang|Yi Liu|Ping Zhang,,Performance Analysis of Semi-Blind Amplify-and-Forward Relay System in Mixed Nakagami-m and Rician Fading Channels.,-2010,,,,2016859,journals/ieicet/XuZLZ10,2,34,5,34,5,2
120,E. Lavretsky,,On the exact solution of the Parity-N problem using ordered neural networks.,2000,,,,2166516,journals/nn/Lavretsky00,2,38,5,38,5,2
122,Jongwoo Kim|Daniel X. Le|George R. Thoma,,Naive Bayes Classifier for Extracting Bibliographic Information from Biomedical Online Articles.,-2008,,,,186774,conf/dmin/KimLT08,1,0,57,0,57,2
123,An Optimal Probabilistic Graphical Model for Point Set Matching.,,Tibério S. Caetano|Terry Caelli|Dante Augusto Couto Barone,-2004,,,,725996,conf/sspr/CaetanoCB04,1,0,58,0,58,2
126,Kamal Taha|Ramez Elmasri,,XCDSearch: An XML Context-Driven Search Engine.,2010,,,,2266747,journals/tkde/TahaE10,0,40,5,40,5,2
128,Guangdeng Liao|Laxmi N. Bhuyan|Wei Wu|Heeyeol Yu|Steve R. King,,A new TCB cache to efficiently manage TCP sessions for web servers.,2010,,,,811364,conf/ancs/LiaoBWYK10,2,0,5,0,5,2
130,K. Bammann|U. Helmert,,Gesundheitliche Risiken und Arbeitslosigkeit - Ergebnisse der Gesundheitssurveys der Deutschen Herz-Kreislauf-Präventionsstudie.,-1994,,,,275208,conf/gmds/BammannH94,1,0,61,0,61,2
138,Efficient Algorithms for Constructing Time Decompositions of Time Stamped Documents.,,Parvathi Chundi|Rui Zhang 0004|Daniel J. Rosenkrantz,-2005,,,,176060,conf/dexa/Chundi0R05,1,0,65,0,65,2
146,Jinn-Biau Sheu|Jyh-Jone Lee,,Synthesis of Tendon-Driven Manipulators with High Fault Tolerance.,2009,,,,712668,conf/smc/SheuL09,1,0,68,0,68,2
149,C. R. Bector|Suresh Chandra|Vidyottama Vijay,,Duality in linear programming with fuzzy parameters and matrix games with fuzzy pay-offs.,-2004,,,,1989543,journals/fss/BectorCV04,0,46,5,46,5,2
151,Ling Zhang|Bo Zhang,,The Statistical Inference Method in Heuristic Search Techniques.,1983,,,,460732,conf/ijcai/ZhangZ83,1,0,71,0,71,2
152,Huai-Rong Shao|Chia Shen|Daqing Gu|Jinyun Zhang|Philip V. Orlik,,Dynamic Resource Control for High-Speed Downlink Packet Access Wireless Channel.,2003,,,,349786,conf/icdcsw/ShaoSGZO03,4,0,5,0,5,2
154,Ming Chang|Jen-Cheng Chen|Jia-Sheng Heh,,The Control of Membrane Thickness in PECVD Process Utilizing a Rule Extraction Technique of Neural Networks.,-2006,,,,518454,conf/isnn/ChangCH06,1,0,73,0,73,2
155,Yung Ryn Choe|Derek L. Schuff|Jagadeesh M. Dyaberi|Vijay S. Pai,,Improving VoD server efficiency with bittorrent.,-2007,,,,590394,conf/mm/ChoeSDP07,1,0,74,0,74,2
156,A simple encodable/Decodable OFDM QPSK code with low peak-to-mean envelope power ratio.,,Chan Vee Chong|Vahid Tarokh,2001,,,,2256083,journals/tit/ChongT01,0,2,5,2,5,2
158,Theodoros K. Dikaliotis|Alexandros G. Dimakis|Tracey Ho,,Security in Distributed Storage Systems by Communicating a Logarithmic Number of Bits,2010,,,,1925423,journals/corr/abs-1005-0426,3,5,5,5,5,2
160,Andrzej Galat,,A Large-scale Processing of Kinetic Data Files with Derivation of the Inhibitory Constant Ki: An Application to Proline Isomerases.,1996,,,,1865750,journals/candc/Galat96,3,48,5,48,5,2
161,Yunong Zhang|Zhan Li|Chenfu Yi|Ke Chen 0004,,Zhang Neural Network Versus Gradient Neural Network for Online Time-Varying Quadratic Function Minimization.,2008,,,,367692,conf/icic/ZhangLYC08,0,0,72,0,72,2
163,Guenther Heinrichs|Paolo Mulassano|Fabio Dovis,,A hybrid positioning algorithm for cellular radio networks by using a common rake receiver architecture.,2004,,,,879255,conf/pimrc/HeinrichsMD04,1,0,30,0,30,2
170,Special Issue on Genetic Fuzzy Systems and the Interpretability-Accuracy Trade-off.,,Jorge Casillas|Francisco Herrera|R. Pérez|María José del Jesús|Pedro Villar,2007,,,,2021235,journals/ijar/CasillasHPJV07,3,50,5,50,5,2
172,George Karakostas|Stavros G. Kolliopoulos|Jing Wang,,An FPTAS for the Minimum Total Weighted Tardiness Problem with a Fixed Number of Distinct Due Dates.,2009,,,,124928,conf/cocoon/KarakostasKW09,1,0,5,0,5,2
173,Shantanu H. Joshi|Eric Klassen|Anuj Srivastava|Ian Jermyn,,Removing Shape-Preserving Transformations in Square-Root Elastic (SRE) Framework for Shape Analysis of Curves.,2007,,,,212218,conf/emmcvpr/JoshiKSJ07,2,0,5,0,5,2
174,Woong-Jae Won|Sang-Woo Ban|Jaekyoung Moon|Minho Lee,,Biologically Motivated Face Selective Attention System.,2006,,,,463449,conf/ijcnn/WonBML06,2,0,80,0,80,2
175,Zhe Yang|Saltant Khamit|Abbas Mohammed|Peter Larson,,A comparative study on business models of municipal wireless cities in US and Sweden.,2008,,,,853353,conf/bdim/YangKML08,2,0,81,0,81,2
179,Dave Harley|Geraldine Fitzpatrick|Lesley Axelrod|Gareth R. White|Graham McAllister,,Making the Wii at Home: Game Play by Older People in Sheltered Housing.,2010,,,,745345,conf/usab/HarleyFAWM10,2,0,83,0,83,2
186,T. Schwartzkopff|Frieder Lörcher|Claus-Dieter Munz|R. Schneider,,Arbitrary high order finite-volume methods for electromagnetic wave propagation.,-2006,,,,2357455,journals/cphysics/SchwartzkopffLMS06,0,54,5,54,5,2
190,Yan Wen|Jinjing Zhao|Huaimin Wang|Jiannong Cao,,Implicit Detection of Hidden Processes with a Feather-Weight Hardware-Assisted Virtual Machine Monitor.,2008,,,,22532,conf/acisp/WenZWC08,2,0,87,0,87,2
191,Ioan Filip|Octavian Prostean|Daniel Curiac,,Tuning Considerations above a Fuzzy Controller Used for the Synchronous Generator.,1999,,,,259631,conf/fuzzy/FilipPC99,1,0,88,0,88,2
192,Ray S. Tuminaro|John Shadid|Scott Hutchinson,,Parallel sparse matrix vector multiply software for matrices with data locality.,1998,,,,1898996,journals/concurrency/TuminaroSH98,3,32,5,32,5,2
193,Christos Maramis|Anastasios Delopoulos,,Efficient Quantitative Information Extraction from PCR-RFLP Gel Electrophoresis Images.,-2010,,,,413316,conf/icpr/MaramisD10,2,0,89,0,89,2
194,Carolyn Penstein Rosé|Vincent Aleven|Regan Carey|Allen Robinson,,A First Evaluation of the Instructional Value of Negotiable Problem Solving Goals on the Exploratory Learning Continuum.,-2005,,,,38882,conf/aied/RoseACR05,1,0,90,0,90,2
204,George Kousiouris|Dimosthenis Kyriazis|Kleopatra Konstanteli|Spyridon V. Gogouvitis|Gregory Katsaros|Theodora A. Varvarigou,,A Service-Oriented Framework for GNU Octave-Based Performance Prediction.,-2010,,,,12988,conf/IEEEscc/KousiourisKKGKV10,2,0,96,0,96,2
209,Xiaofeng Chen|Fangguo Zhang|Haibo Tian|Baodian Wei|Willy Susilo|Yi Mu|Hyunrok Lee|Kwangjo Kim,,Efficient generic on-line/off-line (threshold) signatures without key exposure.,2008,,,,2067325,journals/isci/ChenZTWSMLK08,1,60,100,60,100,2
218,Partner Selection Based on IDMA Superposition Modulation in Cooperative Cellular Networks.,,Xiaoxiang Wang|Hongtao Zhang|Dezhi Li,2010,,,,809931,conf/vtc/WangZL10,4,0,105,0,105,2
221,James Malone|Ele Holloway|Tomasz Adamusiak|Misha Kapushesky|Jie Zheng|Nikolay Kolesnikov|Anna Zhukova|Alvis Brazma|Helen E. Parkinson,,Modeling sample variables with an Experimental Factor Ontology.,2010,,,,1846672,journals/bioinformatics/MaloneHAKZKZBP10,0,61,0,61,0,2
226,Min-Soo Kim 0006|Deepesh Man Shrestha|Young-Bae Ko,,EDCA-TM: IEEE 802.11e MAC enhancement for wireless multi-hop networks.,2009,,,,875291,conf/wcnc/KimSK09,1,0,108,0,108,2
231,Pantelis A. Asvestas|E. Ventouras|I. Karanasiou|George K. Matsopoulos,,Classification of Event-Related Potentials associated with response errors in actors.,2008,,,,74798,conf/bibe/AsvestasVKM08,0,0,112,0,112,2
232,Gordon S. Blair|Fábio M. Costa|Geoff Coulson|Hector A. Duran|Nikos Parlavantzas|Fabien Delpiano|Bruno Dumant|François Horn|Jean-Bernard Stefani,,The Design of a Resource-Aware Reflective Middleware Architecture.,1999,,,,655044,conf/reflection/BlairCDPDDHS99,1,0,113,0,113,2
235,Vadim Bulitko|Nathan R. Sturtevant|Maryia Kazakevich,,Speeding Up Learning in Real-time Search via Automatic State Abstraction.,-2005,,,,14582,conf/aaai/BulitkoSK05,2,0,115,0,115,2
237,New Families of p-Ary Sequences from Quadratic Form with Low Correlation and Large Linear Span.,,Xiaohu Tang|Parampalli Udaya|Pingzhi Z. Fan,-2004,,,,686585,conf/seta/TangUF04a,1,0,116,0,116,2
246,Andreas Konstantinidis|Thrasyvoulos Tsiatsos|Theodouli Terzidou|Andreas S. Pomportsis,,Fostering collaborative learning in Second Life: Metaphors and affordances.,2010,,,,2391681,journals/ce/KonstantinidisTTP10,0,65,5,65,5,2
268,Verónika Peralta|Virginie Thion-Goasdoué|Zoubida Kedad|Laure Berti-Equille|Isabelle Comyn-Wattiau|Sylvaine Nugier|Samira Si-Said Cherfi,,Multidimensional Management and Analysis of Quality Measures for CRM Applications in an Electricity Company.,-2009,,,,487149,conf/iq/PeraltaTKBCNC09,4,0,132,0,132,2
270,Fire Service in Korea: Advanced Emergency 119 System Based on GIS Technology.,,In-Hak Joo|Kwang-Soo Kim|Min-Soo Kim 0001,-2004,,,,210115,conf/egov/JooKK04,1,0,5,0,5,2
273,Yang Yang|Bin B. Zhu|Rui Guo|Linjun Yang|Shipeng Li|Nenghai Yu,,A comprehensive human computation framework: with application to image labeling.,2008,,,,590501,conf/mm/YangZGYLY08,1,0,135,0,135,2
274,Bai Yifeng|Xiao Jian|Yu Long,,Kernel Partial Least-Squares Regression.,-2006,,,,463580,conf/ijcnn/YifengJL06,1,0,5,0,5,2
284,Denise Fukumi Tsunoda|Heitor Silvério Lopes|Ana Tereza R. Vasconcelos,,Web Tools for Molecular Biological Data Analysis.,-2005,,,,1345,books/idea/encyclopedia2005/TsunodaLV05,6,0,142,0,142,2
292,"Highly Acyclic Groups, Hypergraph Covers and the Guarded Fragment.",,Martin Otto,-2010,,,,569129,conf/lics/Otto10,1,0,5,0,5,2
296,Jun Xie|Fang Fang|HaiRong Hu|Feng Xu|Qi Wu,,Characterization of a Supercluster of SnoRNA Genes from Rice Genome.,-2008,,,,847544,conf/bmei/XieFHXW08,5,0,0,0,0,2
298,Saikat Chakrabarti|Christopher J. Lanczycki|Anna R. Panchenko|Teresa M. Przytycka|Paul A. Thiessen|Stephen H. Bryant,,State of the art: refinement of multiple sequence alignments.,2010,,,,1851059,journals/bmcbi/ChakrabartiLPPTB10,2,21,0,21,0,2
300,Ryoichi Honbo|Koichiro Sawa|Youichi Murakami|Hiroyuki Wakabayashi|Naruhiko Inayoshi|Kyoji Inukai|Takeshi Shimoyama|Naoki Morita,,Development of the Lead-Free Carbon Brush Material for Starters.,2005,,,,2012895,journals/ieicet/HonboSMWIISM05,3,34,5,34,5,2
305,B. Pradeep|C. Siva Ram Murthy,,Parallel Arithmetic Expression Evaluation on Reconfigurable Meshes.,1994,,,,1878292,journals/cl/PradeepM94a,2,73,0,73,0,2
307,A Convex Geometric Approach to Counting the Roots of a Polynomial System.,,J. Maurice Rojas,1994,,,,2243622,journals/tcs/Rojas94,2,12,5,12,5,2
311,Rui Zhang,,Statistical performance critical path analysis for service-oriented systems.,2007,,,,7751,conf/ACMse/Zhang07,1,0,154,0,154,2
324,Gennady P. Agibalov,,Parallel Computations and Finite Automata on Semilattices.,1995,,,,616557,conf/pact/Agibalov95,1,0,159,0,159,2
325,Guiwu Wei,,UDWGA Operator and its Application to Dynamic Multiple Attribute Decision Making.,2009,,,,895200,conf/ssme/Wei09a,4,0,5,0,5,2
330,J. Wauer,,Symbolische Generierung der Bewegungsgleichungen hybrider Robotersysteme.,1986,,,,2195014,journals/robotersysteme/Wauer86,0,78,162,78,162,2
338,Wei Li 0004|Arie E. Kaufman|Kevin Kreeger,,Real-Time Volume Rendering for Virtual Colonoscopy.,-2001,,,,748224,conf/vg/LiKK01,1,0,5,0,5,2
339,Marco Guerriero|Vladimir Pozdnyakov|Joseph Glaz|Peter Willett,,A repeated significance test with applications to sequential detection in sensor networks.,2010,,,,2352005,journals/tsp/GuerrieroPGW10,3,15,5,15,5,2
343,Ross A. Lippert|Clark M. Mobarry|Brian Walenz,,A Space-Efficient Construction of the Burrows-Wheeler Transform for Genomic Data.,2005,,,,2090499,journals/jcb/LippertMW05,3,81,5,81,5,2
344,R. Franco|Jaime Valls Miró,,The Project Test Bed (PTB) and Its Application to ESA Missions.,-1998,,,,220619,conf/esm/FrancoM98,4,0,0,0,0,2
349,Stefanie Rinderle|Manfred Reichert|Peter Dadam,,Effiziente Verträglichkeitsprüfung und automatische Migration von Workflow-Instanzen bei der Evolution von Workflow-Schemata.,2002,,,,2018522,journals/ife/RinderleRD02,3,83,5,83,5,2
353,Heterogeneous Face Recognition: Matching NIR to Visible Light Images.,,Brendan Klare|Anil K. Jain,2010,,,,413878,conf/icpr/KlareJ10,1,0,5,0,5,2
359,Thomas Ludwig 0005,,Editorial for the ISC'10 Scientific Sessions Proceedings.,2010,,,,2018766,journals/ife/000510,3,88,5,88,5,2
360,Susan T. Dumais,,Data-driven approaches to information access.,2003,,,,1882933,journals/cogsci/Dumais03,2,89,5,89,5,2
362,Tingda Lu|William Perrizo|Yan Wang|Gregory H. Wettstein|Amal Shehan Perera,,Experimental Study on Item-based P-Tree Collaborative Filtering Algorithm for Netflix.,-2009,,,,681003,conf/sede/LuPWWP09,1,0,170,0,170,2
364,Hong Zhang|C. M. Tam|Heng Li,,Modeling uncertain activity duration by fuzzy number and discrete-event simulation.,2005,,,,2327325,journals/eor/ZhangTL05,3,63,5,63,5,2
366,Kyu-Young Whang|Jae-Gil Lee|Min-Soo Kim 0002|Min-Jae Lee|Ki-Hoon Lee,,Odysseus: a High-Performance ORDBMS Tightly-Coupled with Spatial Database Features.,-2007,,,,352735,conf/icde/WhangLKLL07,1,0,173,0,173,2
367,Petr Posik,,BBOB-benchmarking the generalized generation gap model with parent centric crossover.,2009,,,,266841,conf/gecco/Posik09b,2,0,5,0,5,2
368,Huaping Liu|Vinod Venkatesan|Mario E. Magaña|Curt Nilsen|Ron Kyker,,Performance of Frequency Hopped Noncoherent GFSK over Time-Varying Rayleigh Fading Channels.,2004,,,,2397784,journals/ijwoc/LiuVMNK04,3,90,0,90,0,2
373,System-level cost analysis and design exploration for three-dimensional integrated circuits (3D ICs).,,Xiangyu Dong|Yuan Xie,2009,,,,60759,conf/aspdac/DongX09,1,0,176,0,176,2
395,Errors of the incremental method for curves.,,Ken-ichi Kanatani,-1984,,,,1934284,journals/cvgip/Kanatani84,2,98,5,98,5,2
403,João Barros|Rui A. Costa|Daniele Munaretto|Jörg Widmer,,Effective Delay Control in Online Network Coding.,-2009,,,,475524,conf/infocom/BarrosCMW09,0,0,0,0,0,2
406,Celia López-Ongil|Mario García-Valderas|Marta Portela-García|Luis Entrena-Arrontes,,Techniques for Fast Transient Fault Grading Based on Autonomous Emulation,-2007,,,,1912947,journals/corr/abs-0710-4757,3,5,5,5,5,2
407,Kaiyu Dai|Yinsheng Li|Jin Han|Xiaohua Lu|Shensheng Zhang,,An interactive web system for integrated three-dimensional customization.,2006,,,,2395816,journals/cii/DaiLHLZ06,3,100,5,100,5,2
408,Coherent bag-of audio words model for efficient large-scale video copy detection.,,Yang Liu|Wanlei Zhao|Chong-Wah Ngo|Changsheng Xu|Hanqing Lu,-2010,,,,116786,conf/civr/LiuZNXL10,2,0,193,0,193,2
411,Borys Omelayenko|Monica Crubézy|Dieter Fensel|V. Richard Benjamins|Bob J. Wielinga|Enrico Motta|Mark A. Musen|Ying Ding,,UPML: The Language and Tool Support for Making the Semantic Web Alive.,2003,,,,162439,conf/dagstuhl/OmelayenkoCFBWMMD03,1,0,195,0,195,2
419,Yi Tao|William I. Grosky,,Image Indexing and Retrieval Using Object-based Point Feature Maps.,2000,,,,2293902,journals/vlc/TaoG00,3,0,5,0,5,2
421,Lina Fatima Soualmia|Catherine Barry|Stéfan Jacques Darmoni,,Knowledge-Based Query Expansion.,-2003,,,,40011,conf/aime/SoualmiaBD03,1,0,5,0,5,2
424,K. Ishida|K. Kanda|A. Tamtrakarn|H. Kawaguchi|T. Sakurai,,Subthreshold-leakage suppressed switched capacitor circuit based on super cut-off CMOS (SCCMOS).,-2005,,,,505241,conf/iscas/IshidaKTKS05,5,0,75,0,75,2
425,Yunxin Liu|Ahmad Rahmati|Hyukjae Jang|Yuanhe Huang|Lin Zhong|Yongguang Zhang|Shensheng Zhang,,"Design, Realization, and Evaluation of xShare for Impromptu Sharing of Mobile Phones.",-2010,,,,2267466,journals/tmc/LiuRJHZZZ10,3,80,5,80,5,2
427,Yuan He|Jun Sun 0004|Satoshi Naoi|Yusaku Fujii|Katsuhito Fujimoto,,Unsupervised Decomposition of Color Document Images by Projecting Colors to a Spherical Surface.,2008,,,,165148,conf/das/HeSNFF08,1,0,201,0,201,2
429,Jorge Rafael Gutierrez-Pulido|M. A. G. Ruiz|Roberto Herrera|E. Cabello|Steve Legrand|Dave Elliman,,Ontology languages for the semantic web: A never completely updated review.,-2006,,,,2140069,journals/kbs/PulidoRHCLE06,3,104,5,104,5,2
440,A Class of New Large-Update Primal-Dual Interior-Point Algorithms for Linear Complementarity Problems.,,Huaping Chen|Mingwang Zhang|Yuqin Zhao,-2009,,,,520820,conf/isnn/ChenZZ09,2,0,204,0,204,2
443,A two-time-scale design for edge-based detection and rectification of uncooperative flows.,,Xingzhe Fan|Kartikeya Chandrayana|Murat Arcak|Shivkumar Kalyanaraman|John Ting-Yung Wen,-2006,,,,2277291,journals/ton/FanCAKW06,0,108,0,108,0,2
450,Sasha Calhoun|Jean Carletta|Jason Brenier|Neil Mayo|Dan Jurafsky|Mark Steedman|David Beaver,,"The NXT-format Switchboard Corpus: a rich resource for investigating the syntax, semantics, pragmatics and prosody of dialogue.",2010,,,,2408082,journals/lre/CalhounCBMJSB10,3,112,5,112,5,2
452,Andrew Liu|Alex Pentland,,Detection of Unexpected Motion While Driving: From Psychophysics to Real World Via Virtual Environments.,1996,,,,2185410,journals/presence/LiuP96,3,113,5,113,5,2
455,Youxing Qu|Jun-tao Guo|Victor Olman|Ying Xu,,Protein Fold Recognition Through Application of Residual Dipolar Coupling Data.,2004,,,,649129,conf/psb/QuGOX04,1,0,5,0,5,2
460,Bernard Domanski|Robert J. Domanski,,Ever feel as if the world is passing you by? wanna catch up fast?,2006,,,,121898,conf/cmg/DomanskiD06,4,0,138,0,138,2
463,Tsuyoshi Kawaguchi|Seiki Kyan,,Worst Case Bound of an LRF Schedule for the Mean Weighted Flow-Time Problem.,-1986,,,,2204115,journals/siamcomp/KawaguchiK86,2,116,5,116,5,2
468,Roman Samulyak|Tianshi Lu|Yarema Prykarpatskyy,,Direct and Homogeneous Numerical Approaches to Multiphase Flows and Applications.,2004,,,,329114,conf/iccS/SamulyakLP04,2,0,215,0,215,2
472,A combinatorial approach to jumping particles.,,Enrica Duchi|Gilles Schaeffer,2005,,,,2104948,journals/jct/DuchiS05,3,118,5,118,5,2
476,Walid Htira|Olivier Dugeon|Michel Diaz,,STAMP: Towards A Scalable Topology Announcement and Management Protocol.,2008,,,,42460,conf/aina/HtiraDD08,1,0,217,0,217,2
477,Kewei Sha|Guoxing Zhan|Safwan Al-Omari|Tim Calappi|Weisong Shi|Carol Miller,,Data Quality and Failures Characterization of Sensing Data in Environmental Applications.,2008,,,,802873,conf/colcom/ShaZACSM08,2,0,218,0,218,2
485,Ullrich Dittler|Thomas Jechle,,Tele-akademie der FH Furtwangen: Virtuelle wissenschaftliche Weiterbildung in Badan-Württemberg.,2002,,,,268690,conf/gi/DittlerJ02,4,0,222,0,222,2
487,Editorial: Special Issue on Robotics: Science and Systems 2005.,,Oliver Brock|Sven Koenig|Nicholas Roy|Gaurav Sukhatme,2006,,,,2040977,journals/ijrr/BrockKRS06,0,120,5,120,5,2
