date,wm_yr_wk,weekday,wday,month,year,event_name_1,event_type_1,event_name_2,event_type_2,snap_TX
5/29/2011,11118,Sunday,2,5,2011,NA,NA,NA,NA,0
5/30/2011,11118,Monday,3,5,2011,MemorialDay,National,NA,NA,0
5/31/2011,11118,Tuesday,4,5,2011,NBAFinalsStart,Sporting,NA,NA,0
6/1/2011,11118,Wednesday,5,6,2011,NA,NA,NA,NA,1
6/2/2011,11118,Thursday,6,6,2011,NA,NA,NA,NA,0
6/3/2011,11118,Friday,7,6,2011,NA,NA,NA,NA,1
6/4/2011,11119,Saturday,1,6,2011,NA,NA,NA,NA,0
6/5/2011,11119,Sunday,2,6,2011,NA,NA,NA,NA,1
6/6/2011,11119,Monday,3,6,2011,NA,NA,NA,NA,1
6/7/2011,11119,Tuesday,4,6,2011,NA,NA,NA,NA,1
6/8/2011,11119,Wednesday,5,6,2011,NA,NA,NA,NA,0
6/9/2011,11119,Thursday,6,6,2011,NA,NA,NA,NA,1
6/10/2011,11119,Friday,7,6,2011,NA,NA,NA,NA,0
6/11/2011,11120,Saturday,1,6,2011,NA,NA,NA,NA,1
6/12/2011,11120,Sunday,2,6,2011,NBAFinalsEnd,Sporting,NA,NA,1
6/13/2011,11120,Monday,3,6,2011,NA,NA,NA,NA,1
6/14/2011,11120,Tuesday,4,6,2011,NA,NA,NA,NA,0
6/15/2011,11120,Wednesday,5,6,2011,NA,NA,NA,NA,1
6/16/2011,11120,Thursday,6,6,2011,NA,NA,NA,NA,0
6/17/2011,11120,Friday,7,6,2011,NA,NA,NA,NA,0
6/18/2011,11121,Saturday,1,6,2011,NA,NA,NA,NA,0
6/19/2011,11121,Sunday,2,6,2011,Father's day,Cultural,NA,NA,0
6/20/2011,11121,Monday,3,6,2011,NA,NA,NA,NA,0
6/21/2011,11121,Tuesday,4,6,2011,NA,NA,NA,NA,0
6/22/2011,11121,Wednesday,5,6,2011,NA,NA,NA,NA,0
6/23/2011,11121,Thursday,6,6,2011,NA,NA,NA,NA,0
6/24/2011,11121,Friday,7,6,2011,NA,NA,NA,NA,0
6/25/2011,11122,Saturday,1,6,2011,NA,NA,NA,NA,0
6/26/2011,11122,Sunday,2,6,2011,NA,NA,NA,NA,0
6/27/2011,11122,Monday,3,6,2011,NA,NA,NA,NA,0
6/28/2011,11122,Tuesday,4,6,2011,NA,NA,NA,NA,0
6/29/2011,11122,Wednesday,5,6,2011,NA,NA,NA,NA,0
6/30/2011,11122,Thursday,6,6,2011,NA,NA,NA,NA,0
7/1/2011,11122,Friday,7,7,2011,NA,NA,NA,NA,1
7/2/2011,11123,Saturday,1,7,2011,NA,NA,NA,NA,0
7/3/2011,11123,Sunday,2,7,2011,NA,NA,NA,NA,1
7/4/2011,11123,Monday,3,7,2011,IndependenceDay,National,NA,NA,0
7/5/2011,11123,Tuesday,4,7,2011,NA,NA,NA,NA,1
7/6/2011,11123,Wednesday,5,7,2011,NA,NA,NA,NA,1
7/7/2011,11123,Thursday,6,7,2011,NA,NA,NA,NA,1
7/8/2011,11123,Friday,7,7,2011,NA,NA,NA,NA,0
7/9/2011,11124,Saturday,1,7,2011,NA,NA,NA,NA,1
7/10/2011,11124,Sunday,2,7,2011,NA,NA,NA,NA,0
7/11/2011,11124,Monday,3,7,2011,NA,NA,NA,NA,1
7/12/2011,11124,Tuesday,4,7,2011,NA,NA,NA,NA,1
7/13/2011,11124,Wednesday,5,7,2011,NA,NA,NA,NA,1
7/14/2011,11124,Thursday,6,7,2011,NA,NA,NA,NA,0
7/15/2011,11124,Friday,7,7,2011,NA,NA,NA,NA,1
7/16/2011,11125,Saturday,1,7,2011,NA,NA,NA,NA,0
7/17/2011,11125,Sunday,2,7,2011,NA,NA,NA,NA,0
7/18/2011,11125,Monday,3,7,2011,NA,NA,NA,NA,0
7/19/2011,11125,Tuesday,4,7,2011,NA,NA,NA,NA,0
7/20/2011,11125,Wednesday,5,7,2011,NA,NA,NA,NA,0
7/21/2011,11125,Thursday,6,7,2011,NA,NA,NA,NA,0
7/22/2011,11125,Friday,7,7,2011,NA,NA,NA,NA,0
7/23/2011,11126,Saturday,1,7,2011,NA,NA,NA,NA,0
7/24/2011,11126,Sunday,2,7,2011,NA,NA,NA,NA,0
7/25/2011,11126,Monday,3,7,2011,NA,NA,NA,NA,0
7/26/2011,11126,Tuesday,4,7,2011,NA,NA,NA,NA,0
7/27/2011,11126,Wednesday,5,7,2011,NA,NA,NA,NA,0
7/28/2011,11126,Thursday,6,7,2011,NA,NA,NA,NA,0
7/29/2011,11126,Friday,7,7,2011,NA,NA,NA,NA,0
7/30/2011,11127,Saturday,1,7,2011,NA,NA,NA,NA,0
7/31/2011,11127,Sunday,2,7,2011,NA,NA,NA,NA,0
8/1/2011,11127,Monday,3,8,2011,Ramadan starts,Religious,NA,NA,1
8/2/2011,11127,Tuesday,4,8,2011,NA,NA,NA,NA,0
8/3/2011,11127,Wednesday,5,8,2011,NA,NA,NA,NA,1
8/4/2011,11127,Thursday,6,8,2011,NA,NA,NA,NA,0
8/5/2011,11127,Friday,7,8,2011,NA,NA,NA,NA,1
8/6/2011,11128,Saturday,1,8,2011,NA,NA,NA,NA,1
8/7/2011,11128,Sunday,2,8,2011,NA,NA,NA,NA,1
8/8/2011,11128,Monday,3,8,2011,NA,NA,NA,NA,0
8/9/2011,11128,Tuesday,4,8,2011,NA,NA,NA,NA,1
8/10/2011,11128,Wednesday,5,8,2011,NA,NA,NA,NA,0
8/11/2011,11128,Thursday,6,8,2011,NA,NA,NA,NA,1
8/12/2011,11128,Friday,7,8,2011,NA,NA,NA,NA,1
8/13/2011,11129,Saturday,1,8,2011,NA,NA,NA,NA,1
8/14/2011,11129,Sunday,2,8,2011,NA,NA,NA,NA,0
8/15/2011,11129,Monday,3,8,2011,NA,NA,NA,NA,1
8/16/2011,11129,Tuesday,4,8,2011,NA,NA,NA,NA,0
8/17/2011,11129,Wednesday,5,8,2011,NA,NA,NA,NA,0
8/18/2011,11129,Thursday,6,8,2011,NA,NA,NA,NA,0
8/19/2011,11129,Friday,7,8,2011,NA,NA,NA,NA,0
8/20/2011,11130,Saturday,1,8,2011,NA,NA,NA,NA,0
8/21/2011,11130,Sunday,2,8,2011,NA,NA,NA,NA,0
8/22/2011,11130,Monday,3,8,2011,NA,NA,NA,NA,0
8/23/2011,11130,Tuesday,4,8,2011,NA,NA,NA,NA,0
8/24/2011,11130,Wednesday,5,8,2011,NA,NA,NA,NA,0
8/25/2011,11130,Thursday,6,8,2011,NA,NA,NA,NA,0
8/26/2011,11130,Friday,7,8,2011,NA,NA,NA,NA,0
8/27/2011,11131,Saturday,1,8,2011,NA,NA,NA,NA,0
8/28/2011,11131,Sunday,2,8,2011,NA,NA,NA,NA,0
8/29/2011,11131,Monday,3,8,2011,NA,NA,NA,NA,0
8/30/2011,11131,Tuesday,4,8,2011,NA,NA,NA,NA,0
8/31/2011,11131,Wednesday,5,8,2011,Eid al-Fitr,Religious,NA,NA,0
9/1/2011,11131,Thursday,6,9,2011,NA,NA,NA,NA,1
9/2/2011,11131,Friday,7,9,2011,NA,NA,NA,NA,0
9/3/2011,11132,Saturday,1,9,2011,NA,NA,NA,NA,1
9/4/2011,11132,Sunday,2,9,2011,NA,NA,NA,NA,0
9/5/2011,11132,Monday,3,9,2011,LaborDay,National,NA,NA,1
9/6/2011,11132,Tuesday,4,9,2011,NA,NA,NA,NA,1
9/7/2011,11132,Wednesday,5,9,2011,NA,NA,NA,NA,1
9/8/2011,11132,Thursday,6,9,2011,NA,NA,NA,NA,0
9/9/2011,11132,Friday,7,9,2011,NA,NA,NA,NA,1
9/10/2011,11133,Saturday,1,9,2011,NA,NA,NA,NA,0
9/11/2011,11133,Sunday,2,9,2011,NA,NA,NA,NA,1
9/12/2011,11133,Monday,3,9,2011,NA,NA,NA,NA,1
9/13/2011,11133,Tuesday,4,9,2011,NA,NA,NA,NA,1
9/14/2011,11133,Wednesday,5,9,2011,NA,NA,NA,NA,0
9/15/2011,11133,Thursday,6,9,2011,NA,NA,NA,NA,1
9/16/2011,11133,Friday,7,9,2011,NA,NA,NA,NA,0
9/17/2011,11134,Saturday,1,9,2011,NA,NA,NA,NA,0
9/18/2011,11134,Sunday,2,9,2011,NA,NA,NA,NA,0
9/19/2011,11134,Monday,3,9,2011,NA,NA,NA,NA,0
9/20/2011,11134,Tuesday,4,9,2011,NA,NA,NA,NA,0
9/21/2011,11134,Wednesday,5,9,2011,NA,NA,NA,NA,0
9/22/2011,11134,Thursday,6,9,2011,NA,NA,NA,NA,0
9/23/2011,11134,Friday,7,9,2011,NA,NA,NA,NA,0
9/24/2011,11135,Saturday,1,9,2011,NA,NA,NA,NA,0
9/25/2011,11135,Sunday,2,9,2011,NA,NA,NA,NA,0
9/26/2011,11135,Monday,3,9,2011,NA,NA,NA,NA,0
9/27/2011,11135,Tuesday,4,9,2011,NA,NA,NA,NA,0
9/28/2011,11135,Wednesday,5,9,2011,NA,NA,NA,NA,0
9/29/2011,11135,Thursday,6,9,2011,NA,NA,NA,NA,0
9/30/2011,11135,Friday,7,9,2011,NA,NA,NA,NA,0
10/1/2011,11136,Saturday,1,10,2011,NA,NA,NA,NA,1
10/2/2011,11136,Sunday,2,10,2011,NA,NA,NA,NA,0
10/3/2011,11136,Monday,3,10,2011,NA,NA,NA,NA,1
10/4/2011,11136,Tuesday,4,10,2011,NA,NA,NA,NA,0
10/5/2011,11136,Wednesday,5,10,2011,NA,NA,NA,NA,1
10/6/2011,11136,Thursday,6,10,2011,NA,NA,NA,NA,1
10/7/2011,11136,Friday,7,10,2011,NA,NA,NA,NA,1
10/8/2011,11137,Saturday,1,10,2011,NA,NA,NA,NA,0
10/9/2011,11137,Sunday,2,10,2011,NA,NA,NA,NA,1
10/10/2011,11137,Monday,3,10,2011,ColumbusDay,National,NA,NA,0
10/11/2011,11137,Tuesday,4,10,2011,NA,NA,NA,NA,1
10/12/2011,11137,Wednesday,5,10,2011,NA,NA,NA,NA,1
10/13/2011,11137,Thursday,6,10,2011,NA,NA,NA,NA,1
10/14/2011,11137,Friday,7,10,2011,NA,NA,NA,NA,0
10/15/2011,11138,Saturday,1,10,2011,NA,NA,NA,NA,1
10/16/2011,11138,Sunday,2,10,2011,NA,NA,NA,NA,0
10/17/2011,11138,Monday,3,10,2011,NA,NA,NA,NA,0
10/18/2011,11138,Tuesday,4,10,2011,NA,NA,NA,NA,0
10/19/2011,11138,Wednesday,5,10,2011,NA,NA,NA,NA,0
10/20/2011,11138,Thursday,6,10,2011,NA,NA,NA,NA,0
10/21/2011,11138,Friday,7,10,2011,NA,NA,NA,NA,0
10/22/2011,11139,Saturday,1,10,2011,NA,NA,NA,NA,0
10/23/2011,11139,Sunday,2,10,2011,NA,NA,NA,NA,0
10/24/2011,11139,Monday,3,10,2011,NA,NA,NA,NA,0
10/25/2011,11139,Tuesday,4,10,2011,NA,NA,NA,NA,0
10/26/2011,11139,Wednesday,5,10,2011,NA,NA,NA,NA,0
10/27/2011,11139,Thursday,6,10,2011,NA,NA,NA,NA,0
10/28/2011,11139,Friday,7,10,2011,NA,NA,NA,NA,0
10/29/2011,11140,Saturday,1,10,2011,NA,NA,NA,NA,0
10/30/2011,11140,Sunday,2,10,2011,NA,NA,NA,NA,0
10/31/2011,11140,Monday,3,10,2011,Halloween,Cultural,NA,NA,0
11/1/2011,11140,Tuesday,4,11,2011,NA,NA,NA,NA,1
11/2/2011,11140,Wednesday,5,11,2011,NA,NA,NA,NA,0
11/3/2011,11140,Thursday,6,11,2011,NA,NA,NA,NA,1
11/4/2011,11140,Friday,7,11,2011,NA,NA,NA,NA,0
11/5/2011,11141,Saturday,1,11,2011,NA,NA,NA,NA,1
11/6/2011,11141,Sunday,2,11,2011,NA,NA,NA,NA,1
11/7/2011,11141,Monday,3,11,2011,EidAlAdha,Religious,NA,NA,1
11/8/2011,11141,Tuesday,4,11,2011,NA,NA,NA,NA,0
11/9/2011,11141,Wednesday,5,11,2011,NA,NA,NA,NA,1
11/10/2011,11141,Thursday,6,11,2011,NA,NA,NA,NA,0
11/11/2011,11141,Friday,7,11,2011,VeteransDay,National,NA,NA,1
11/12/2011,11142,Saturday,1,11,2011,NA,NA,NA,NA,1
11/13/2011,11142,Sunday,2,11,2011,NA,NA,NA,NA,1
11/14/2011,11142,Monday,3,11,2011,NA,NA,NA,NA,0
11/15/2011,11142,Tuesday,4,11,2011,NA,NA,NA,NA,1
11/16/2011,11142,Wednesday,5,11,2011,NA,NA,NA,NA,0
11/17/2011,11142,Thursday,6,11,2011,NA,NA,NA,NA,0
11/18/2011,11142,Friday,7,11,2011,NA,NA,NA,NA,0
11/19/2011,11143,Saturday,1,11,2011,NA,NA,NA,NA,0
11/20/2011,11143,Sunday,2,11,2011,NA,NA,NA,NA,0
11/21/2011,11143,Monday,3,11,2011,NA,NA,NA,NA,0
11/22/2011,11143,Tuesday,4,11,2011,NA,NA,NA,NA,0
11/23/2011,11143,Wednesday,5,11,2011,NA,NA,NA,NA,0
11/24/2011,11143,Thursday,6,11,2011,Thanksgiving,National,NA,NA,0
11/25/2011,11143,Friday,7,11,2011,NA,NA,NA,NA,0
11/26/2011,11144,Saturday,1,11,2011,NA,NA,NA,NA,0
11/27/2011,11144,Sunday,2,11,2011,NA,NA,NA,NA,0
11/28/2011,11144,Monday,3,11,2011,NA,NA,NA,NA,0
11/29/2011,11144,Tuesday,4,11,2011,NA,NA,NA,NA,0
11/30/2011,11144,Wednesday,5,11,2011,NA,NA,NA,NA,0
12/1/2011,11144,Thursday,6,12,2011,NA,NA,NA,NA,1
12/2/2011,11144,Friday,7,12,2011,NA,NA,NA,NA,0
12/3/2011,11145,Saturday,1,12,2011,NA,NA,NA,NA,1
12/4/2011,11145,Sunday,2,12,2011,NA,NA,NA,NA,0
12/5/2011,11145,Monday,3,12,2011,NA,NA,NA,NA,1
12/6/2011,11145,Tuesday,4,12,2011,NA,NA,NA,NA,1
12/7/2011,11145,Wednesday,5,12,2011,NA,NA,NA,NA,1
12/8/2011,11145,Thursday,6,12,2011,NA,NA,NA,NA,0
12/9/2011,11145,Friday,7,12,2011,NA,NA,NA,NA,1
12/10/2011,11146,Saturday,1,12,2011,NA,NA,NA,NA,0
12/11/2011,11146,Sunday,2,12,2011,NA,NA,NA,NA,1
12/12/2011,11146,Monday,3,12,2011,NA,NA,NA,NA,1
12/13/2011,11146,Tuesday,4,12,2011,NA,NA,NA,NA,1
12/14/2011,11146,Wednesday,5,12,2011,NA,NA,NA,NA,0
12/15/2011,11146,Thursday,6,12,2011,NA,NA,NA,NA,1
12/16/2011,11146,Friday,7,12,2011,NA,NA,NA,NA,0
12/17/2011,11147,Saturday,1,12,2011,NA,NA,NA,NA,0
12/18/2011,11147,Sunday,2,12,2011,NA,NA,NA,NA,0
12/19/2011,11147,Monday,3,12,2011,NA,NA,NA,NA,0
12/20/2011,11147,Tuesday,4,12,2011,NA,NA,NA,NA,0
12/21/2011,11147,Wednesday,5,12,2011,NA,NA,NA,NA,0
12/22/2011,11147,Thursday,6,12,2011,NA,NA,NA,NA,0
12/23/2011,11147,Friday,7,12,2011,NA,NA,NA,NA,0
12/24/2011,11148,Saturday,1,12,2011,NA,NA,NA,NA,0
12/25/2011,11148,Sunday,2,12,2011,Christmas,National,NA,NA,0
12/26/2011,11148,Monday,3,12,2011,NA,NA,NA,NA,0
12/27/2011,11148,Tuesday,4,12,2011,NA,NA,NA,NA,0
12/28/2011,11148,Wednesday,5,12,2011,Chanukah End,Religious,NA,NA,0
12/29/2011,11148,Thursday,6,12,2011,NA,NA,NA,NA,0
12/30/2011,11148,Friday,7,12,2011,NA,NA,NA,NA,0
12/31/2011,11149,Saturday,1,12,2011,NA,NA,NA,NA,0
1/1/2012,11149,Sunday,2,1,2012,NewYear,National,NA,NA,1
1/2/2012,11149,Monday,3,1,2012,NA,NA,NA,NA,0
1/3/2012,11149,Tuesday,4,1,2012,NA,NA,NA,NA,1
1/4/2012,11149,Wednesday,5,1,2012,NA,NA,NA,NA,0
1/5/2012,11149,Thursday,6,1,2012,NA,NA,NA,NA,1
1/6/2012,11149,Friday,7,1,2012,NA,NA,NA,NA,1
1/7/2012,11150,Saturday,1,1,2012,OrthodoxChristmas,Religious,NA,NA,1
1/8/2012,11150,Sunday,2,1,2012,NA,NA,NA,NA,0
1/9/2012,11150,Monday,3,1,2012,NA,NA,NA,NA,1
1/10/2012,11150,Tuesday,4,1,2012,NA,NA,NA,NA,0
1/11/2012,11150,Wednesday,5,1,2012,NA,NA,NA,NA,1
1/12/2012,11150,Thursday,6,1,2012,NA,NA,NA,NA,1
1/13/2012,11150,Friday,7,1,2012,NA,NA,NA,NA,1
1/14/2012,11151,Saturday,1,1,2012,NA,NA,NA,NA,0
1/15/2012,11151,Sunday,2,1,2012,NA,NA,NA,NA,1
1/16/2012,11151,Monday,3,1,2012,MartinLutherKingDay,National,NA,NA,0
1/17/2012,11151,Tuesday,4,1,2012,NA,NA,NA,NA,0
1/18/2012,11151,Wednesday,5,1,2012,NA,NA,NA,NA,0
1/19/2012,11151,Thursday,6,1,2012,NA,NA,NA,NA,0
1/20/2012,11151,Friday,7,1,2012,NA,NA,NA,NA,0
1/21/2012,11152,Saturday,1,1,2012,NA,NA,NA,NA,0
1/22/2012,11152,Sunday,2,1,2012,NA,NA,NA,NA,0
1/23/2012,11152,Monday,3,1,2012,NA,NA,NA,NA,0
1/24/2012,11152,Tuesday,4,1,2012,NA,NA,NA,NA,0
1/25/2012,11152,Wednesday,5,1,2012,NA,NA,NA,NA,0
1/26/2012,11152,Thursday,6,1,2012,NA,NA,NA,NA,0
1/27/2012,11152,Friday,7,1,2012,NA,NA,NA,NA,0
1/28/2012,11201,Saturday,1,1,2012,NA,NA,NA,NA,0
1/29/2012,11201,Sunday,2,1,2012,NA,NA,NA,NA,0
1/30/2012,11201,Monday,3,1,2012,NA,NA,NA,NA,0
1/31/2012,11201,Tuesday,4,1,2012,NA,NA,NA,NA,0
2/1/2012,11201,Wednesday,5,2,2012,NA,NA,NA,NA,1
2/2/2012,11201,Thursday,6,2,2012,NA,NA,NA,NA,0
2/3/2012,11201,Friday,7,2,2012,NA,NA,NA,NA,1
2/4/2012,11202,Saturday,1,2,2012,NA,NA,NA,NA,0
2/5/2012,11202,Sunday,2,2,2012,SuperBowl,Sporting,NA,NA,1
2/6/2012,11202,Monday,3,2,2012,NA,NA,NA,NA,1
2/7/2012,11202,Tuesday,4,2,2012,NA,NA,NA,NA,1
2/8/2012,11202,Wednesday,5,2,2012,NA,NA,NA,NA,0
2/9/2012,11202,Thursday,6,2,2012,NA,NA,NA,NA,1
2/10/2012,11202,Friday,7,2,2012,NA,NA,NA,NA,0
2/11/2012,11203,Saturday,1,2,2012,NA,NA,NA,NA,1
2/12/2012,11203,Sunday,2,2,2012,NA,NA,NA,NA,1
2/13/2012,11203,Monday,3,2,2012,NA,NA,NA,NA,1
